onnx,vnnlib,abc,abc_t,vc,vc_wall,miss
./onnx/mnist_concat.onnx,./vnnlib/index7901_delta0.13.vnnlib,unsat,8.311640471,verified,2.7,
./onnx/mnist_concat.onnx,./vnnlib/index6323_delta0.13.vnnlib,unsat,6.441430060,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index7027_delta0.13.vnnlib,unsat,8.286986988,verified,3.0,
./onnx/mnist_concat.onnx,./vnnlib/index7116_delta0.13.vnnlib,unsat,6.474477785,verified,2.6,
./onnx/mnist_concat.onnx,./vnnlib/index1373_delta0.13.vnnlib,unsat,6.399849313,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index6957_delta0.13.vnnlib,unsat,6.465074504,verified,2.6,
./onnx/mnist_concat.onnx,./vnnlib/index365_delta0.13.vnnlib,unsat,6.751791409,verified,2.6,
./onnx/mnist_concat.onnx,./vnnlib/index8900_delta0.13.vnnlib,unsat,6.409367645,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index112_delta0.13.vnnlib,unsat,10.048275539,verified,159.0,
./onnx/mnist_concat.onnx,./vnnlib/index9733_delta0.13.vnnlib,unsat,8.245520903,verified,4.9,
./onnx/mnist_concat.onnx,./vnnlib/index6936_delta0.13.vnnlib,unsat,6.863043434,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index6574_delta0.13.vnnlib,unsat,6.400360079,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index9154_delta0.13.vnnlib,unsat,8.315747911,verified,2.7,
./onnx/mnist_concat.onnx,./vnnlib/index7281_delta0.13.vnnlib,unsat,6.698683962,verified,2.6,
./onnx/mnist_concat.onnx,./vnnlib/index5938_delta0.13.vnnlib,unsat,6.766377930,verified,2.9,
./onnx/mnist_concat.onnx,./vnnlib/index6551_delta0.13.vnnlib,unsat,8.300134440,verified,2.6,
./onnx/mnist_concat.onnx,./vnnlib/index8964_delta0.13.vnnlib,unsat,6.449702257,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index6412_delta0.13.vnnlib,unsat,6.408351257,verified,2.6,
./onnx/mnist_concat.onnx,./vnnlib/index4665_delta0.13.vnnlib,unsat,8.355265765,verified,2.9,
./onnx/mnist_concat.onnx,./vnnlib/index3552_delta0.13.vnnlib,unsat,6.418085171,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index2204_delta0.13.vnnlib,unsat,8.291041268,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index6405_delta0.13.vnnlib,unsat,6.379120279,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index3805_delta0.13.vnnlib,unsat,8.985231963,verified,3.0,
./onnx/mnist_concat.onnx,./vnnlib/index4739_delta0.13.vnnlib,sat,7.027864625,sat,1.7,
./onnx/mnist_concat.onnx,./vnnlib/index668_delta0.13.vnnlib,unsat,6.583381491,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index7175_delta0.13.vnnlib,unsat,6.452534953,verified,2.7,
./onnx/mnist_concat.onnx,./vnnlib/index5291_delta0.13.vnnlib,unsat,13.102020402,verified,5.9,
./onnx/mnist_concat.onnx,./vnnlib/index4286_delta0.13.vnnlib,unsat,6.381351328,verified,3.0,
./onnx/mnist_concat.onnx,./vnnlib/index5206_delta0.13.vnnlib,unsat,6.770821097,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index5385_delta0.13.vnnlib,unsat,6.907355069,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index7329_delta0.13.vnnlib,unsat,6.466428830,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index5391_delta0.13.vnnlib,unsat,6.429514255,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index292_delta0.13.vnnlib,unsat,6.484536669,verified,2.7,
./onnx/mnist_concat.onnx,./vnnlib/index6354_delta0.13.vnnlib,unsat,6.403165630,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index1282_delta0.13.vnnlib,sat,6.974605034,sat,1.8,
./onnx/mnist_concat.onnx,./vnnlib/index5020_delta0.13.vnnlib,unsat,6.392125897,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index2251_delta0.13.vnnlib,unsat,6.968228898,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index7106_delta0.13.vnnlib,unsat,6.763960347,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index1921_delta0.13.vnnlib,unsat,6.437794931,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index4148_delta0.13.vnnlib,unsat,6.417646813,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index1285_delta0.13.vnnlib,sat,7.009096962,sat,1.7,
./onnx/mnist_concat.onnx,./vnnlib/index6199_delta0.13.vnnlib,unsat,6.796327585,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index9211_delta0.13.vnnlib,sat,6.965620990,sat,1.7,
./onnx/mnist_concat.onnx,./vnnlib/index7534_delta0.13.vnnlib,sat,7.024267107,sat,1.7,
./onnx/mnist_concat.onnx,./vnnlib/index1159_delta0.13.vnnlib,unsat,6.915984859,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index9021_delta0.13.vnnlib,unsat,6.394921089,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index4901_delta0.13.vnnlib,unsat,6.891330778,verified,2.4,
