net,prop,v3,v3_s,nnenum,nn_s,status
1_1,prop_1,unsat,16.4,unsat,1.1,AGREE
1_2,prop_1,unsat,21.2,unsat,1.0,AGREE
1_3,prop_1,unsat,39.9,unsat,1.3,AGREE
1_4,prop_1,unsat,34.9,unsat,1.1,AGREE
1_5,prop_1,unsat,19.7,unsat,1.0,AGREE
1_6,prop_1,unsat,34.2,unsat,1.1,AGREE
1_7,prop_1,unsat,22.1,unsat,0.9,AGREE
1_8,prop_1,unsat,17.3,unsat,1.1,AGREE
1_9,prop_1,unsat,16.7,unsat,1.1,AGREE
2_1,prop_1,unsat,40.4,unsat,1.4,AGREE
2_2,prop_1,unsat,64.8,unsat,1.5,AGREE
2_3,prop_1,unsat,34.4,unsat,1.2,AGREE
2_4,prop_1,unsat,20.2,unsat,1.2,AGREE
2_5,prop_1,unsat,84.1,unsat,1.6,AGREE
2_6,prop_1,unsat,65.9,unsat,1.5,AGREE
2_7,prop_1,unsat,94.4,unsat,2.0,AGREE
2_8,prop_1,unsat,79.7,unsat,1.8,AGREE
2_9,prop_1,unsat,109.3,unsat,61.9,AGREE
3_1,prop_1,unsat,47.5,unsat,1.3,AGREE
3_2,prop_1,unsat,41.6,unsat,1.2,AGREE
3_3,prop_1,unsat,41.5,unsat,1.3,AGREE
3_4,prop_1,unsat,21.4,unsat,1.1,AGREE
3_5,prop_1,unsat,46.6,unsat,1.5,AGREE
3_6,prop_1,unsat,78.8,unsat,2.3,AGREE
3_7,prop_1,unsat,70.6,unsat,1.9,AGREE
3_8,prop_1,unsat,78.1,unsat,1.7,AGREE
3_9,prop_1,unsat,61.6,unsat,1.4,AGREE
4_1,prop_1,unsat,58.7,unsat,1.3,AGREE
4_2,prop_1,unsat,63.5,unsat,1.4,AGREE
4_3,prop_1,unsat,32.9,unsat,1.1,AGREE
4_4,prop_1,unsat,42.6,unsat,1.1,AGREE
4_5,prop_1,unsat,57.7,unsat,1.6,AGREE
4_6,prop_1,unsat,113.0,unsat,2.4,AGREE
4_7,prop_1,unsat,77.7,unsat,1.7,AGREE
4_8,prop_1,unsat,95.3,unsat,2.1,AGREE
4_9,prop_1,unsat,124.6,unsat,2.6,AGREE
5_1,prop_1,unsat,44.5,unsat,1.0,AGREE
5_2,prop_1,unsat,37.6,unsat,1.2,AGREE
5_3,prop_1,unsat,28.2,unsat,1.1,AGREE
